Exchange Date;Close;Adjusted Close;Net;%Chg;Open;Low;High;Volume;Turnover - EUR;Flow
08. Mai 24;227.68;;-3.76;-1.62%;227.6;225.5;230.81;1.039.215;232913421.17;3529948584.61
07. Mai 24;231.44;;0.94;0.41%;228.97;226.08;232.45;830.039;190978224.64;3760395668.81
06. Mai 24;230.5;;Jul 41;3.32%;224.97;223.96;233.38;863.806;199369695.69;3564121230.94
03. Mai 24;223.09;;Sep 67;4.53%;218.95;218.07;226.8;641.002;142436465.88;3367867448.5
02. Mai 24;213.42;;Mai 15;2.47%;211.24;203.89;215.37;589.974;124991258.69;3235354958.58
01. Mai 24;208.26;;-3.41;-1.61%;208.8;204.28;216.56;954.956;199122075.27;3115000556.97
30. Apr 24;211.67;;-1.91;-0.89%;211.85;210.17;219.61;646.119;138750551.54;3327822193.56
29. Apr 24;213.58;;Mai 33;2.56%;208.97;204.07;213.69;475.165;100072136.04;3449085528.03
26. Apr 24;208.25;;08. Jan;4,00%;204.36;204.35;212.92;639.739;133729395.57;3357485363.44
25. Apr 24;200.24;;-2.04;-1.01%;197.27;193.43;203.04;506.055;100895177.71;3212622690.37
24. Apr 24;202.28;;-3.84;-1.86%;208.66;201.21;214.86;877.331;179922043.61;3323436557.91
23. Apr 24;206.12;;13.17;6.83%;192.64;192.64;206.88;860.780;176020293.97;3502721518.21
22. Apr 24;192.95;;05. Sep;2.71%;189.36;185.91;194.34;867.622;165633750.94;3340724572.4
19. Apr 24;187.86;;-4.81;-2.5%;191.47;184.67;197.29;6.564.230;1235589165.31;3175090821.46
18. Apr 24;192.67;;Okt 25;5.62%;196.26;192.56;204.63;2.323.160;455020496.75;4415238173.44
17. Apr 24;182.42;;-4.23;-2.27%;186.09;182.14;188.13;277.085;50987023.63;3949849069.99
16. Apr 24;186.65;;Feb 55;1.38%;182.98;182.73;190.07;400.547;74951905.51;4021200602.08
15. Apr 24;184.11;;-14.2;-7.16%;198.43;183.61;199.49;607.080;114063981.68;3944363325.76
12. Apr 24;198.31;;-3.48;-1.73%;200.16;196.72;203.33;316.493;62964161.36;4050797064.05
