Exchange Date;Close;Adjusted Close;Net;%Chg;Open;Low;High;Volume;Turnover - EUR;Flow
04. Aug 23;124.76;;-4.3;-3.33%;128.49;124.44;129.96;625.541;78642075.66;658018728.41
03. Aug 23;129.06;;-2.76;-2.09%;129.75;128.21;132.49;344.490;44676523.26;741097298.28
02. Aug 23;131.81;;-6.85;-4.94%;136.39;127.8;137.27;561.425;73497500.57;786349990.32
01. Aug 23;138.66;;-2.51;-1.78%;139.67;135.98;139.97;246.542;33972159.94;856246025.58
31. Jul 23;141.17;;04. Dez;3.01%;138.21;138.21;142.08;381.461;53754544.39;889328534.37
28. Jul 23;137.05;;Apr 42;3.34%;135.18;135.16;138.58;376.053;51622296.52;833902235.76
27. Jul 23;132.63;;-1.1;-0.82%;137.73;132.1;142.16;934.436;125238397.02;785278600.02
26. Jul 23;133.73;;-0.65;-0.49%;133.1;132.07;135.72;248.833;33245855.51;901475070.6
25. Jul 23;134.38;;0.88;0.66%;133.2;133;136.07;189.564;25583363.25;937259014.36
24. Jul 23;133.5;;-0.9;-0.67%;134.7;130.75;136.62;413.831;55192966.06;910940046.87
21. Jul 23;134.41;;Mrz 13;2.38%;133.36;130.28;136.11;634.588;84315880.23;960832106.14
20. Jul 23;131.28;;-12;-8.37%;141.53;129.72;143.53;648.886;86819152.38;876116497.7
19. Jul 23;143.28;;Jan 95;1.38%;143.24;138.3;144.85;587.120;83296369.06;956924200.43
18. Jul 23;141.32;;0.25;0.18%;141.19;137.18;142.4;514.664;71799631.07;871446256.42
17. Jul 23;141.07;;07. Sep;5.93%;133.52;132.52;141.57;389.848;54550165.18;799072108.53
14. Jul 23;133.17;;-3.94;-2.87%;137.72;131.59;137.72;615.133;82271093.62;744990327.66
13. Jul 23;137.11;;-1.45;-1.05%;139.06;135.54;139.88;470.575;64860354.58;827484325.18
12. Jul 23;138.56;;Feb 72;2.01%;136.39;136.39;144.76;1.010.060;142103400.17;900036701.92
11. Jul 23;135.84;;Sep 54;7.56%;126.39;126.33;136.2;653.779;87268095.22;766342318.83
10. Jul 23;126.29;;Feb 97;2.41%;122.13;121.21;127.76;409.608;51568817.92;679500233.2
07. Jul 23;123.33;;0.63;0.51%;122.64;122.64;126.06;271.383;33658123.65;629768582.77
06. Jul 23;122.7;;-7.51;-5.77%;128.79;121.65;128.79;565.479;69739169.8;600490595.85
05. Jul 23;130.21;;-0.27;-0.2%;130.91;127.26;130.91;375.730;48628533.03;672447982.24
03. Jul 23;130.47;;-0.54;-0.41%;130.79;128.43;131.49;302.214;39326196.73;717117350.84
30. Jun 23;131.02;;Mrz 46;2.71%;128.43;128.3;134.23;492.497;64798958.83;756509575.75
29. Jun 23;127.56;;-3.81;-2.9%;131.99;126.05;133.65;442.890;57066418.17;694638684.2
28. Jun 23;131.37;;Mrz 14;2.45%;128.31;127.72;133.84;422.706;55774699.97;748471154.28
27. Jun 23;128.23;;Mrz 27;2.62%;126.26;124.92;129.55;341.029;43605399.61;689658146.22
26. Jun 23;124.96;;-3.64;-2.83%;126.77;124.8;130.91;393.435;49759864.49;649309596.14
23. Jun 23;128.6;;-1.92;-1.47%;129.11;126.59;130.58;1.278.646;164653312.66;700037542.51
22. Jun 23;130.52;;0.97;0.75%;128.85;127.12;131.43;515.605;66974689.79;859399289.11
21. Jun 23;129.55;;-8.04;-5.85%;135.22;127.51;136.34;728.843;94687733.19;790410416.67
20. Jun 23;137.6;;-2.15;-1.54%;139.97;136.63;143.18;548.291;75842344.49;890610448.04
16. Jun 23;139.75;;-4.09;-2.84%;144.42;137.84;145.04;741.256;103886072.1;964944177.12
15. Jun 23;143.84;;0.88;0.61%;139.69;139.11;145.25;576.580;82548565.19;1067661694.51
14. Jun 23;142.96;;-4.85;-3.28%;145.82;138.49;146.34;670.450;95187372.31;995485465.09
13. Jun 23;147.81;;01. Jan;0.75%;148.17;146.42;149.69;451.156;66794354.55;1094712891.45
12. Jun 23;146.7;;Jan 72;1.18%;145.53;142.11;147.1;802.382;116839859.55;1031168565.3
09. Jun 23;144.99;;-0.95;-0.65%;146.41;144.23;149.99;316.792;46210325.63;915174550.53
08. Jun 23;145.94;;Mrz 48;2.44%;141.41;141.39;147.99;644.761;93793799.58;958357591.95
07. Jun 23;142.46;;-13.79;-8.83%;153.15;141.6;156.12;977.837;142927035.08;871349363.56
06. Jun 23;156.25;;Mai 38;3.56%;150.78;150.78;157.51;824.819;128165828.52;1014851434.46
05. Jun 23;150.88;;Mai 22;3.58%;144.29;144.29;151.13;598.791;89222509.7;884941374.77
02. Jun 23;145.66;;Feb 42;1.69%;144.8;139.46;145.97;461.716;66737439.97;796170624.53
01. Jun 23;143.24;;03. Mrz;2.36%;138.11;137.79;145.48;506.734;72655437.13;725700350.88
31. Mai 23;139.94;;0.13;0.09%;139.84;138.08;143.19;693.056;96963496.71;657507331.11
30. Mai 23;139.81;;0.74;0.53%;142.37;138.15;145.07;530.679;74577484.98;751309828.66
26. Mai 23;139.07;;Mai 65;4.23%;133.99;132.76;141.71;507.246;70464707.19;677298883.94
25. Mai 23;133.43;;-3.82;-2.78%;140.19;132.83;141.02;563.815;75729041.19;607114006.77
24. Mai 23;137.24;;-1.38;-0.99%;137.64;135.84;138.23;543.587;74631764.46;681005874.31
23. Mai 23;138.62;;-5.48;-3.8%;143.91;138.48;146.19;568.503;80243043.95;754232609.67
22. Mai 23;144.1;;Apr 92;3.53%;139.92;139.54;144.4;682.654;97771486.73;831150977.83
19. Mai 23;139.19;;-1.83;-1.3%;141.33;136.34;141.34;813.574;112975935.12;733989993.18
18. Mai 23;141.02;;Sep 71;7.4%;132.18;132.18;141.02;1.057.526;146994493.26;849564235.87
17. Mai 23;131.3;;-0.9;-0.68%;131.99;130.01;134.39;678.187;89788685.01;698030151.99
16. Mai 23;132.21;;0.59;0.45%;131.75;128.9;132.7;611.432;80374452.3;786230544.22
15. Mai 23;131.61;;Jan 22;0.94%;130.31;127.04;131.61;730.508;95437440.75;705135462.94
12. Mai 23;130.39;;-2.76;-2.07%;133.67;128.6;133.67;948.608;124077311.36;611050269.94
11. Mai 23;133.15;;-1.37;-1.02%;135.9;128.74;137.44;890.186;117978621.38;730677724.06
10. Mai 23;134.52;;Nov 98;9.78%;131.15;124.27;136.59;1.770.868;234576097.88;843562091.8
09. Mai 23;122.54;;Feb 73;2.28%;119.98;119.98;125.88;1.014.369;125295873.87;610095976.63
08. Mai 23;119.8;;Jul 65;6.82%;111.78;111.34;121.8;863.329;102565301.73;482860711.06
05. Mai 23;112.15;;Mrz 48;3.2%;110.22;110.22;114.24;669.481;74997956.14;379847638.65
04. Mai 23;108.67;;-0.39;-0.36%;109.52;106.09;109.98;753.525;81686449.9;305014250.09
03. Mai 23;109.06;;-4.74;-4.17%;112.89;107.82;113.32;968.367;106732339.14;385023058.16
02. Mai 23;113.8;;-13.21;-10.4%;125.11;111.2;125.11;1.603.145;183597546.14;494436493.14
01. Mai 23;127.01;;Mrz 45;2.79%;123.8;123.34;127.2;369.956;46685930.43;679518126.68
28. Apr 23;123.56;;01. Apr;1.15%;120.97;119.13;124.88;284.123;35000235.75;630248527.33
27. Apr 23;122.15;;-1.58;-1.28%;125.07;121.73;125.74;370.177;45562681.39;594867832.25
26. Apr 23;123.73;;-3.87;-3.03%;127.65;123.52;128.03;285.195;35740311.83;639681934.66
25. Apr 23;127.6;;-0.15;-0.11%;126.8;124.37;127.97;480.669;61036215.38;679605420.26
24. Apr 23;127.74;;-0.43;-0.33%;127.28;126.76;130.42;390.460;50131585.7;736017755.16
21. Apr 23;128.17;;02. Dez;1.68%;125.49;124.82;129.65;360.955;46160970.84;689256077.88
20. Apr 23;126.05;;-3.47;-2.68%;128.57;125.34;129.84;273.697;34806745.87;644268006.48
19. Apr 23;129.52;;Feb 71;2.14%;126.19;126.19;129.63;420.014;54042225.26;679879069.75
18. Apr 23;126.82;;Feb 97;2.4%;125.35;123.62;126.85;407.732;51120602.19;624863376.88
17. Apr 23;123.84;;Jan 21;0.98%;123.3;118.95;124.54;516.155;62949875.41;576109528.95
14. Apr 23;122.64;;-0.58;-0.47%;123.67;121.8;125.27;533.094;65742365.17;509705883.02
13. Apr 23;123.22;;0.36;0.29%;124.13;122.83;125.29;481.274;59658719.09;573156810.97
12. Apr 23;122.86;;-1.12;-0.9%;125;122.25;125.58;375.321;46249415.94;516067085.17
11. Apr 23;123.98;;-0.07;-0.05%;123.76;122.9;125.54;547.788;68009981.67;566388661.27
10. Apr 23;124.05;;-1.17;-0.93%;124.05;123.4;125.41;489.104;60835219.43;500722161.54
06. Apr 23;125.21;;-0.1;-0.08%;125.12;121.36;126.81;504.047;62861032.38;558416952.57
05. Apr 23;125.31;;-2.24;-1.76%;127.55;123.12;128.17;435.614;54483371.95;496329761.27
04. Apr 23;127.56;;-3.77;-2.87%;131.94;126.53;132.31;584.163;74757954.76;548350875.16
03. Apr 23;131.33;;-0.23;-0.17%;130.38;128.09;132;379.885;49623138.96;626363998.27
31. Mrz 23;131.55;;Jun 78;5.44%;126.39;125.73;135.07;975.067;128530696.89;579719288.99
30. Mrz 23;124.77;;-1.57;-1.24%;125.9;124.64;127.03;539.041;67584574.2;448625993.09
29. Mrz 23;126.34;;0.08;0.07%;126.75;125.31;128.12;444.183;56220315.73;518967891.95
28. Mrz 23;126.26;;-0.27;-0.22%;126.64;125.1;128.4;698.070;88322083.19;462747576.22
27. Mrz 23;126.53;;-0.35;-0.28%;126.65;123.8;127.83;434.616;54788558.35;376057578.12
24. Mrz 23;126.88;;02. Nov;1.69%;126.03;124.89;129.33;472.611;60033783.36;322371976.24
23. Mrz 23;124.77;;-0.62;-0.5%;127.53;122.83;128.79;835.280;105261441.66;260619284.28
22. Mrz 23;125.4;;Feb 69;2.19%;121.57;120.59;126.64;656.200;81858923.42;365.036.715,00
21. Mrz 23;122.71;;Jan 97;1.63%;120.92;119.82;126.1;715.263;88311789.16;285492445.66
20. Mrz 23;120.74;;Feb 31;1.95%;116.68;114.63;121.15;481.442;57740488.95;198063846.48
17. Mrz 23;118.43;;-1.67;-1.39%;119.47;117.29;120.87;643.946;76391905.02;141021274.16
16. Mrz 23;120.1;;Mrz 88;3.33%;115.9;115.14;120.51;669.671;79439280.08;218663080.02
15. Mrz 23;116.23;;0.95;0.82%;114.95;112.6;117.26;1.535.705;177684294.97;139619494.08
14. Mrz 23;115.28;;0.85;0.75%;115.95;110.82;116.47;924.706;105828407.06;312659811.55
13. Mrz 23;114.43;;Mrz 76;3.4%;108.89;106.36;115.82;830.581;94253690.47;206889117.24
10. Mrz 23;110.66;;-4.09;-3.56%;113.63;109.48;115.06;527.433;58628910.67;113545404.53
09. Mrz 23;114.75;;-5.22;-4.35%;118.9;114.25;119.8;458.538;53073154.73;173200493.03
08. Mrz 23;119.97;;Feb 65;2.26%;117.08;116.19;120.57;502.354;59878250.4;227046901.41
07. Mrz 23;117.32;;-1.94;-1.63%;121.35;114.86;123.73;1.730.489;205772784.75;167121060.27
06. Mrz 23;119.26;;07. Aug;6.31%;112.17;112.01;119.42;1.114.905;130824583.83;368315951.08
03. Mrz 23;112.18;;-0.96;-0.85%;109.22;104.41;113.22;1.877.568;208668741.1;238520961.43
02. Mrz 23;113.14;;09. Aug;8.72%;104.13;103.69;114.51;1.450.504;161887810.64;448706389.56
01. Mrz 23;104.06;;18.21;21.22%;96.68;94.96;104.46;2.080.648;210079741.76;284964705.18
28. Feb 23;85.85;;Jan 94;2.31%;83.72;83.56;89.26;1.176.940;102578328.05;75515094.46
27. Feb 23;83.91;;Jan 26;1.52%;82.73;82.55;85.5;631.651;53270878.51;-26983950.68
24. Feb 23;82.65;;-2;-2.36%;83.22;81.88;83.55;461.401;38114087.78;-80719620.57
23. Feb 23;84.64;;-0.29;-0.34%;85.4;82.8;85.88;223.414;18847917.55;-42408282.87
22. Feb 23;84.94;;-0.43;-0.5%;86.33;83.5;86.46;277.840;23547135.33;-23547135.33
