Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Bid,Ask
45033,84.76,-1.55,-0.017958522,86.43,84.34,86.52,261810,84.83,84.86
45030,86.31,0.22,0.002555465,86.18,85.53,86.87,262578,86.48,86.63
45029,86.09,-1.24,-0.014199015,87.19,86.05,87.47,291944,86.28,86.31
45028,87.33,1.72,0.020091111,85.59,85.39,87.49,347797,87.2,87.23
45027,85.61,1.43,0.016987408,84.24,83.75,85.67,262666,85.54,85.62
45026,84.18,-0.94,-0.011043233,85.1,84.09,85.66,140529,84.24,84.32
45022,85.12,0.13,0.001529592,84.89,84.05,85.45,259617,84.77,84.95
45021,84.99,0.05,0.000588651,85.22,84.01,85.54,246479,84.81,84.88
45020,84.94,0.01,0.000117744,84.89,83.82,86.04,308533,85.23,85.26
45019,84.93,5.16,0.064685972,86,83.5,86.44,478307,84.82,84.88
45016,79.77,0.5,0.006307556,79.19,78.54,79.8,6853,79.74,79.77
45015,79.27,0.99,0.012646909,78.23,77.86,79.55,62922,79.2,79.3
45014,78.28,-0.37,-0.004704387,78.97,77.94,79.68,79541,78.27,78.29
45013,78.65,0.53,0.006784434,78.23,77.54,79.2,145681,78.88,78.92
45012,78.12,3.13,0.041738899,75,74.8,78.42,146945,78.11,78.18
45009,74.99,-0.92,-0.012119615,75.53,72.68,76.32,156306,74.96,74.97
45008,75.91,-0.78,-0.010170818,75.87,75.12,77.44,199644,75.56,75.63
45007,76.69,1.37,0.01818906,75.15,74.5,77.12,194042,75.79,75.8
45006,75.32,1.53,0.020734517,73.64,72.82,75.42,226837,75.07,75.15
45005,73.79,0.82,0.011237495,73.01,70.12,73.87,282569,73.77,73.84
45002,72.97,-1.73,-0.023159304,74.7,71.4,75.92,427490,72.47,72.71
45001,74.7,1.01,0.013706066,74.3,71.86,75.54,332586,74.66,74.71
45000,73.69,-3.76,-0.04854745,77.82,71.67,78.73,547561,74.31,74.34
44999,77.45,-3.32,-0.04110437,80.54,76.89,80.92,357862,77.6,77.64
